id;segment;delivery_type;logistic_status;push_title;push_subtitle;email_subject;email_snippet;email_title;email_body;email_button
35;C2C;Постаматы;Received_no_return / Accepted;Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.;На страницу заказа
36;C2C;Постаматы;Received;Авито Доставка;Поздравляем с*покупкой*🎉 Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Проверьте график платежей по*рассрочке;Поздравляем с*покупкой*🎉;Это заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа. Ознакомьтесь с*ними ещё раз, чтобы*списания платежей не*стали для вас неожиданностью.\n\nЕсли что-то будет не*так, верните заказ до*28*ноября включительно. Главное*— сохранить изначальный вид покупки.;На страницу заказа
37;C2C;Постаматы;Canceled;Авито Доставка;Вы*отменили заказ*— вместе с*ним отменилась рассрочка;Вы*отменили заказ;Рассрочка отменилась вместе с*ним;Вы*отменили заказ;Рассрочка тоже автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
38;C2C;Постаматы;Voided;Авито Доставка;Продавец*отменил заказ*— рассрочка тоже автоматически отменилась;Продавец отменил заказ;Рассрочка отменилась вместе с*заказом;Продавец отменил заказ;Возможно, товар закончился или возникли проблемы с доставкой. Попробуйте уточнить причину у*продавца или*подыскать похожее предложение.\n\nРассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
39;C2C;Постаматы;Unperformed;Авито Доставка;Заказ отменён: продавец не*передал посылку службе доставки. Рассрочка тоже отменилась;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ пришлось отменить: продавец его*не*отправил;Рассрочка тоже автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
40;C2C;Постаматы;Return_performed;Авито Доставка;Вы*отказались от*заказа*— рассрочка автоматически отменилась;Заказ отменён;Рассрочка отменилась вместе с*ним;Заказ отменён: вы*не забрали посылку;Рассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
41;C2C;Постаматы;Order_delivery_date_changed;Авито Доставка;Срок доставки изменился. Посылку привезут до*7 июня;Срок доставки изменился;Посылку привезут до*7*июня;Срок доставки изменился;Заказ привезут до*20 мая. Вы можете отследить его на*fivepost.ru.;На страницу заказа
42;C2C;Постаматы;Delivery date changed 10th day;;;Доставка задерживается;Напишите нам*— постараемся узнать, где посылка;К сожалению, доставка задерживается;Вы можете написать поддержке Авито*— мы*постараемся узнать, где сейчас посылка.\n\nВ обращении укажите, какой ищете товар и*в*какой он*был упаковке. Приложите фото посылки.\n\nЕсли в течение 30*дней заказ не*найдётся, мы*напишем, как получить компенсацию.;На страницу заказа
43;C2C;Постаматы;Order_lost / Lost;Авито Доставка;Что-то случилось*— заказ не*привезут. Рассрочка автоматически отменилась;Что-то случилось*— заказ не*доставят;Рассрочка отменилась;Служба доставки не*сможет привезти заказ;К*сожалению, в*пути возникли проблемы. Простите, что так вышло*🙏\n\nРассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
44;C2C;Постаматы;Order_unconfirmed / Unconfirmed;Авито Доставка;Не*удалось создать заказ. Попробуйте выбрать другой пункт выдачи. Рассрочка автоматически отменилась;Не*удалось создать заказ;Попробуйте выбрать другой постамат;Не*удалось создать заказ;Попробуйте выбрать другой постамат или пункт выдачи и*оформить покупку ещё раз.\n\nРассрочка автоматически отменилась. Если вносили какие-то платежи в*счёт рассрочки, они вернутся вам. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
